project_id,client_age,client_gender,project_budget,project_duration,num_rooms,design_style,location,client_satisfaction,designer_experience,num_designers,material_quality,furniture_cost,lighting_cost,decor_cost,renovation_cost,project_completion_time,num_meetings,client_feedback,material_availability,designer_rating,project_rating,design_approval_time,issues_encountered,total_cost
178,61.0,Female,22862.0,13,3,Eclectic,Urban,,13.0,4,Medium,18458,9534,811,23290,7,8,Negative,Scarce,2,1,2,No,61318.0
179,,Female,48355.0,22,5,Modern,Urban,3.0,,1,Medium,9783,4403,5327,30441,3,18,Positive,Scarce,3,4,1,No,153057.0
180,57.0,Female,36259.0,1,2,Modern,Urban,7.0,15.0,4,Low,12170,4113,6709,25886,4,4,Negative,Available,2,4,1,No,113051.0
181,25.0,Female,92445.0,2,5,Traditional,Rural,4.0,18.0,2,High,15609,9083,486,33394,17,5,Positive,Scarce,4,2,3,No,26068.0
182,43.0,Other,35795.0,16,9,Eclectic,Urban,3.0,5.0,3,Medium,8322,2779,7507,9418,3,5,Neutral,Not available,5,2,1,No,18531.0
183,26.0,Female,13770.0,15,1,Traditional,Urban,8.0,7.0,2,High,13174,9592,2145,8081,23,15,Neutral,Scarce,4,2,4,Yes,117289.0
184,50.0,Female,16093.0,13,5,Traditional,Urban,3.0,11.0,3,High,17208,1652,7960,38180,4,10,Negative,Available,4,4,4,Yes,39288.0
185,56.0,Other,51571.0,16,6,Contemporary,Suburban,7.0,,3,Low,3410,1794,2002,11114,2,8,Positive,Not available,5,4,2,No,
186,30.0,Male,5193.0,17,7,Contemporary,Suburban,2.0,15.0,3,Low,14636,9157,690,19722,14,7,Neutral,Available,2,5,3,No,96762.0
187,56.0,Other,22569.0,21,9,Eclectic,Suburban,,10.0,4,Medium,10039,5789,5679,22972,5,12,Negative,Scarce,2,5,3,No,103197.0
188,28.0,Male,16190.0,7,6,Minimalist,Rural,6.0,15.0,2,Medium,15990,3745,954,18985,21,11,Positive,Available,3,1,1,Yes,176140.0
189,35.0,Other,67824.0,17,5,Contemporary,Rural,8.0,13.0,4,Low,7441,6568,6135,6888,2,13,Negative,Not available,1,4,5,Yes,148531.0
190,41.0,Other,47752.0,7,7,Minimalist,Urban,1.0,14.0,2,Low,9685,7216,4571,4718,15,15,Positive,Available,2,5,5,Yes,109445.0
191,62.0,Female,37327.0,13,1,Modern,Suburban,10.0,17.0,1,High,14778,7154,3121,33147,11,17,Positive,Not available,5,5,5,No,168626.0
192,48.0,Male,47070.0,5,5,Contemporary,Rural,9.0,13.0,1,High,14191,9179,1063,44382,22,18,Positive,Not available,1,2,2,Yes,
193,29.0,Female,90925.0,17,2,Contemporary,Suburban,3.0,10.0,2,Medium,10732,3438,3700,19309,10,8,Negative,Scarce,5,2,3,No,75313.0
194,58.0,Male,45197.0,3,4,Eclectic,Rural,3.0,1.0,2,Medium,4956,3126,5326,20299,20,6,Negative,Scarce,5,2,1,Yes,150343.0
195,,Other,7261.0,7,7,Minimalist,Rural,4.0,,2,Low,7553,1449,5619,42211,1,11,Positive,Not available,5,3,2,No,132286.0
196,46.0,Other,98905.0,17,5,Contemporary,Urban,1.0,15.0,2,Medium,3365,9741,5106,23036,19,9,Neutral,Available,1,5,4,No,8801.0
197,35.0,Male,31512.0,7,6,Contemporary,Urban,9.0,,3,High,7668,4575,3567,20885,14,5,Positive,Not available,4,2,4,No,77593.0
198,,Female,11716.0,21,2,Eclectic,Rural,3.0,12.0,4,Low,6000,9775,7269,30346,23,7,Negative,Scarce,5,2,4,Yes,162583.0
199,57.0,Female,,1,3,Eclectic,Urban,,6.0,3,High,4675,2158,7032,48971,22,15,Positive,Available,3,4,3,Yes,78635.0
200,33.0,Female,33933.0,17,7,Minimalist,Rural,,6.0,4,Low,13907,7432,6974,27691,14,4,Negative,Not available,2,2,4,Yes,85729.0
201,30.0,Female,9378.0,17,2,Modern,Rural,1.0,12.0,4,Low,18336,8553,1385,41042,1,19,Positive,Scarce,2,4,5,No,60233.0
202,40.0,Other,45583.0,11,6,Modern,Suburban,4.0,15.0,4,High,16136,7459,5746,49527,9,13,Positive,Not available,2,1,4,No,25011.0
203,53.0,Other,90371.0,3,5,Traditional,Urban,1.0,4.0,3,Medium,12155,2317,2229,18986,17,1,Neutral,Not available,1,2,2,Yes,199035.0
204,27.0,Other,,15,1,Contemporary,Urban,,4.0,2,Medium,13219,8882,4676,28846,14,1,Neutral,Not available,3,4,4,Yes,53900.0
205,44.0,Other,29000.0,21,4,Minimalist,Urban,5.0,2.0,3,Medium,4247,960,2263,48872,13,14,Negative,Available,3,2,5,No,156836.0
206,60.0,Other,80868.0,11,2,Contemporary,Suburban,,12.0,3,Medium,5415,8471,2085,42401,13,9,Positive,Scarce,3,1,4,No,187766.0
207,43.0,Female,47604.0,16,4,Minimalist,Suburban,8.0,7.0,4,High,7472,6515,2574,9192,6,12,Negative,Scarce,3,2,1,Yes,85085.0
208,50.0,Female,,22,1,Minimalist,Suburban,4.0,9.0,1,Low,5848,6876,2986,40269,7,18,Positive,Not available,3,4,5,No,143032.0
209,27.0,Female,,9,2,Minimalist,Urban,7.0,9.0,1,High,2037,3021,5477,39487,2,9,Positive,Not available,4,1,3,Yes,21583.0
210,43.0,Female,10410.0,1,8,Contemporary,Urban,4.0,8.0,3,Medium,16634,3976,3268,10412,8,8,Positive,Not available,3,1,4,Yes,135283.0
211,44.0,Other,88375.0,22,6,Eclectic,Urban,3.0,14.0,4,Medium,9262,3205,4872,16963,6,14,Neutral,Available,3,1,2,No,77532.0
212,56.0,Other,61044.0,16,2,Contemporary,Suburban,6.0,1.0,3,High,12066,4866,7843,34623,3,9,Negative,Scarce,1,3,4,Yes,19201.0
213,31.0,Other,68315.0,9,6,Minimalist,Suburban,,12.0,3,Low,16554,9849,1015,2017,18,2,Positive,Not available,1,4,2,Yes,
214,57.0,Male,76344.0,19,9,Traditional,Rural,3.0,2.0,2,High,8008,527,542,6279,18,1,Positive,Scarce,3,3,1,No,25420.0
215,64.0,Female,11796.0,12,7,Modern,Suburban,9.0,13.0,4,High,16263,4731,6810,11412,22,13,Negative,Not available,4,1,3,Yes,45602.0
216,63.0,Female,91716.0,19,9,Minimalist,Rural,5.0,4.0,1,High,17238,7048,5331,8712,23,10,Negative,Scarce,3,3,5,Yes,
217,42.0,Other,59245.0,22,5,Traditional,Urban,7.0,,1,Low,6642,3524,4215,16817,6,8,Positive,Not available,3,2,5,No,189196.0
218,64.0,Female,48056.0,9,7,Eclectic,Suburban,6.0,19.0,1,High,17489,1764,1823,29080,11,7,Neutral,Available,3,3,3,No,105156.0
219,25.0,Female,22709.0,7,7,Minimalist,Urban,10.0,16.0,3,High,18153,9547,1137,7624,3,12,Neutral,Not available,5,5,1,Yes,
220,35.0,Other,63557.0,14,3,Traditional,Urban,5.0,14.0,4,Medium,15531,7087,3623,30126,16,17,Positive,Not available,4,1,1,Yes,17629.0
221,52.0,Male,22543.0,19,7,Minimalist,Urban,7.0,8.0,2,High,11384,7077,3253,17579,5,12,Neutral,Not available,2,1,4,No,193803.0
222,49.0,Male,42418.0,19,1,Contemporary,Urban,6.0,12.0,1,Medium,17336,1751,1645,16131,22,16,Negative,Not available,3,4,1,No,33675.0
223,,Male,99611.0,2,9,Traditional,Suburban,10.0,9.0,4,Medium,14661,4370,2723,38462,2,10,Neutral,Not available,2,2,4,Yes,132652.0
224,55.0,Other,,9,6,Contemporary,Urban,2.0,6.0,1,Medium,12687,1826,2328,47815,15,12,Negative,Scarce,4,4,2,Yes,137734.0
225,54.0,Female,,13,5,Contemporary,Rural,3.0,18.0,2,Low,14404,6677,1732,38419,16,11,Negative,Scarce,3,3,3,Yes,85270.0
226,59.0,Other,22087.0,15,7,Traditional,Suburban,2.0,2.0,4,Medium,5355,9717,7154,24375,7,14,Negative,Available,2,5,2,Yes,12589.0
227,,Other,17605.0,3,5,Modern,Urban,3.0,8.0,3,High,1933,861,7955,27093,16,13,Negative,Not available,2,5,2,No,113954.0
228,40.0,Female,36337.0,11,5,Traditional,Suburban,1.0,14.0,3,High,9766,1718,6786,46494,4,2,Neutral,Scarce,4,5,2,No,185436.0
229,50.0,Male,10482.0,21,7,Modern,Rural,,6.0,1,Medium,6906,1105,539,33525,16,7,Negative,Scarce,3,5,2,No,9655.0
230,26.0,Male,70333.0,14,7,Minimalist,Urban,6.0,10.0,1,Medium,13572,6459,438,30030,17,1,Positive,Not available,5,2,5,No,79285.0
231,25.0,Other,97541.0,8,3,Minimalist,Rural,2.0,8.0,4,High,13279,2170,3493,45067,2,3,Negative,Not available,4,3,1,Yes,
232,36.0,Male,,18,3,Traditional,Urban,8.0,17.0,2,Medium,11723,4943,719,6207,16,12,Positive,Available,5,5,3,No,11645.0
233,29.0,Other,55952.0,19,3,Minimalist,Rural,6.0,12.0,1,Low,11611,1777,5980,11897,4,5,Negative,Available,3,1,3,Yes,122379.0
234,61.0,Other,10463.0,16,6,Eclectic,Urban,7.0,,4,Medium,9261,898,603,27639,7,12,Negative,Scarce,2,3,2,Yes,170834.0
235,56.0,Female,75448.0,2,6,Contemporary,Suburban,1.0,13.0,2,Low,5474,2672,2462,3792,18,3,Neutral,Available,4,2,3,No,52634.0
236,,Female,,8,3,Contemporary,Urban,7.0,19.0,1,Low,17638,3310,6786,1420,6,5,Negative,Scarce,4,5,4,No,157504.0
237,59.0,Female,38623.0,22,3,Modern,Suburban,3.0,12.0,1,Low,5787,6774,5670,30224,18,1,Negative,Available,4,2,3,Yes,183962.0
238,43.0,Other,64156.0,6,8,Minimalist,Urban,8.0,16.0,4,Medium,14575,6181,2326,20198,7,16,Neutral,Not available,1,5,2,No,195183.0
239,40.0,Female,40634.0,12,8,Modern,Urban,6.0,5.0,1,Low,8862,3439,4402,36608,2,9,Neutral,Available,3,1,3,Yes,179683.0
240,27.0,Male,49602.0,15,7,Contemporary,Rural,4.0,16.0,3,Low,11956,9513,7174,47205,19,10,Positive,Scarce,1,3,1,Yes,162743.0
241,,Male,54334.0,8,4,Contemporary,Rural,8.0,6.0,2,Medium,11663,1444,2526,18415,9,10,Neutral,Available,4,1,2,No,41760.0
242,48.0,Other,73648.0,4,4,Minimalist,Rural,9.0,11.0,2,Low,17120,6465,1468,41407,4,13,Positive,Scarce,4,5,5,Yes,33233.0
243,57.0,Other,27054.0,15,3,Eclectic,Urban,10.0,17.0,3,Medium,4742,6848,715,18875,14,16,Negative,Scarce,5,4,1,No,173663.0
244,48.0,Female,75028.0,20,5,Eclectic,Urban,2.0,14.0,4,High,3035,8270,3013,5975,5,4,Positive,Available,1,3,3,No,55091.0
245,35.0,Other,27207.0,17,3,Minimalist,Urban,6.0,6.0,3,Low,2967,7599,5540,27461,7,14,Neutral,Available,2,2,5,No,140510.0
246,32.0,Other,85650.0,13,8,Minimalist,Suburban,5.0,11.0,3,Medium,2852,1696,5543,22331,8,17,Negative,Scarce,3,5,1,Yes,109602.0
247,60.0,Male,86554.0,18,7,Modern,Suburban,5.0,12.0,2,High,11547,1712,449,17893,15,5,Positive,Not available,2,1,4,No,89905.0
248,62.0,Male,26386.0,2,3,Minimalist,Urban,10.0,13.0,4,Low,7618,1323,2744,19243,19,13,Positive,Available,2,4,1,Yes,181968.0
249,,Female,88276.0,13,9,Eclectic,Rural,3.0,4.0,1,Low,14859,7584,6824,16535,11,3,Positive,Scarce,3,5,5,No,
250,44.0,Other,64518.0,13,5,Minimalist,Rural,8.0,7.0,3,Medium,9303,1035,6199,6061,20,5,Negative,Not available,4,2,4,Yes,16319.0
251,59.0,Other,57781.0,22,9,Modern,Rural,8.0,2.0,3,High,12350,3510,1138,2858,23,16,Positive,Scarce,5,1,3,Yes,85258.0
252,49.0,Male,57780.0,15,7,Modern,Urban,,6.0,4,Medium,17566,8037,6444,26489,4,19,Positive,Available,4,3,2,Yes,108293.0
253,,Other,66440.0,20,7,Modern,Rural,8.0,6.0,3,Low,1164,1449,1996,14678,18,19,Neutral,Scarce,4,4,3,Yes,142100.0
254,49.0,Male,49199.0,10,6,Modern,Urban,10.0,18.0,4,Low,7958,1043,4639,35833,14,17,Positive,Scarce,1,5,2,Yes,116930.0
255,53.0,Female,66035.0,3,2,Traditional,Suburban,8.0,8.0,1,Low,3137,4400,2210,48159,6,18,Negative,Scarce,2,5,2,No,115629.0
256,42.0,Male,13210.0,19,9,Minimalist,Rural,3.0,8.0,4,Low,11215,4724,1721,20350,16,18,Neutral,Available,2,5,5,Yes,30940.0
257,42.0,Other,49363.0,3,6,Contemporary,Suburban,2.0,8.0,1,High,17838,3366,5670,14346,18,8,Negative,Not available,2,5,4,No,
258,26.0,Female,83279.0,22,8,Minimalist,Rural,9.0,,4,High,19669,2746,5274,49005,1,18,Neutral,Not available,5,1,4,No,56651.0
259,59.0,Male,65348.0,14,1,Traditional,Urban,2.0,1.0,3,Medium,17925,2336,7766,7773,8,9,Neutral,Not available,5,3,1,No,195720.0
260,40.0,Male,60284.0,8,5,Modern,Urban,9.0,2.0,1,Medium,7033,8768,7203,30465,1,19,Positive,Not available,5,2,3,No,179513.0
261,60.0,Female,77124.0,23,1,Traditional,Urban,4.0,12.0,3,Medium,3665,9060,3301,10788,1,10,Negative,Available,3,4,5,Yes,25688.0
262,,Female,73847.0,4,8,Eclectic,Urban,2.0,15.0,1,Low,14129,7476,1620,33343,19,2,Positive,Scarce,5,5,3,No,182352.0
263,28.0,Male,,20,8,Eclectic,Rural,10.0,4.0,4,Medium,13125,848,5372,47862,21,17,Neutral,Not available,1,5,1,No,19472.0
264,,Other,69089.0,11,1,Minimalist,Suburban,1.0,3.0,4,High,7189,5101,4335,38210,10,13,Positive,Not available,1,3,1,No,85436.0
265,38.0,Male,60398.0,11,9,Minimalist,Urban,4.0,14.0,4,Medium,14708,4833,1823,10247,18,11,Neutral,Available,4,3,5,No,40671.0
266,45.0,Female,8321.0,11,2,Contemporary,Rural,9.0,8.0,2,Medium,19072,5899,5534,46963,12,16,Neutral,Scarce,4,1,1,No,196881.0
267,44.0,Male,86348.0,2,9,Contemporary,Suburban,9.0,13.0,2,High,6095,6196,4178,42983,17,7,Negative,Scarce,4,1,5,No,
268,,Female,,17,1,Eclectic,Urban,4.0,19.0,1,High,15409,1955,6444,36972,1,3,Negative,Not available,4,1,1,Yes,15960.0
269,31.0,Female,,9,9,Modern,Suburban,9.0,5.0,2,Low,8583,2685,852,17959,8,16,Negative,Not available,1,4,4,Yes,127652.0
270,,Other,,2,4,Traditional,Urban,6.0,13.0,4,High,2637,7936,4056,24807,10,19,Negative,Scarce,4,1,5,Yes,129118.0
271,41.0,Female,57893.0,15,9,Contemporary,Suburban,1.0,1.0,2,High,15670,4311,3971,35133,10,16,Positive,Available,1,5,4,No,138146.0
272,57.0,Female,40820.0,16,7,Contemporary,Suburban,10.0,16.0,2,Medium,6966,7809,781,25218,18,2,Negative,Scarce,5,1,4,No,39833.0
273,36.0,Other,71262.0,4,6,Modern,Urban,6.0,2.0,3,High,5670,8586,899,22734,9,14,Negative,Scarce,5,4,5,No,40976.0
274,,Female,8760.0,8,5,Modern,Rural,9.0,7.0,1,Low,6203,4182,7206,23828,2,10,Negative,Not available,3,1,3,Yes,112549.0
275,,Other,,9,9,Minimalist,Suburban,,6.0,1,Medium,19274,2346,7977,18400,3,19,Neutral,Available,4,1,2,No,135120.0
276,54.0,Other,72411.0,5,2,Traditional,Urban,6.0,5.0,1,Low,9669,2354,6778,21002,2,11,Neutral,Available,5,5,1,No,
277,62.0,Female,28377.0,16,2,Modern,Suburban,2.0,4.0,2,High,15968,3485,6908,33793,6,18,Negative,Available,5,5,1,Yes,55108.0
278,62.0,Female,,13,9,Contemporary,Suburban,4.0,2.0,4,Low,3366,3394,1464,37492,23,11,Neutral,Not available,2,5,3,No,157552.0
279,,Male,74569.0,7,3,Contemporary,Rural,8.0,10.0,3,Low,19910,7996,4978,33217,12,9,Neutral,Available,2,1,2,Yes,55138.0
280,51.0,Other,43211.0,20,8,Eclectic,Suburban,7.0,5.0,1,High,1366,1058,4532,37226,22,19,Positive,Available,1,5,3,No,14443.0
281,51.0,Male,87909.0,17,9,Modern,Suburban,9.0,18.0,2,High,16647,3396,1303,28932,19,10,Neutral,Not available,3,3,2,No,74969.0
282,58.0,Female,8744.0,3,8,Minimalist,Urban,7.0,10.0,4,Medium,10907,1754,2282,44327,15,3,Positive,Scarce,2,2,5,No,137062.0
283,45.0,Male,29995.0,5,4,Traditional,Urban,,15.0,3,Medium,7606,2181,1934,31875,19,3,Neutral,Available,3,2,5,Yes,128781.0
284,54.0,Other,21977.0,19,1,Minimalist,Rural,,9.0,3,Medium,1012,5771,3297,26046,12,8,Negative,Scarce,5,5,4,No,97198.0
285,57.0,Male,39542.0,12,4,Contemporary,Suburban,6.0,11.0,1,High,3317,6783,986,24664,18,6,Neutral,Available,1,4,4,Yes,66336.0
286,52.0,Other,15651.0,7,9,Minimalist,Suburban,7.0,17.0,1,Low,16429,9354,6610,25453,16,1,Neutral,Scarce,3,5,5,No,34097.0
287,57.0,Female,83931.0,9,2,Contemporary,Suburban,3.0,9.0,4,Low,8485,3825,3714,5746,2,6,Positive,Scarce,2,5,4,Yes,155258.0
288,29.0,Female,21715.0,6,3,Contemporary,Rural,9.0,16.0,2,Medium,17759,1741,5829,24973,11,2,Negative,Not available,5,1,5,No,56356.0
289,43.0,Other,49409.0,17,8,Contemporary,Suburban,,6.0,4,Medium,1256,3643,6188,14217,12,19,Positive,Not available,4,4,3,Yes,89744.0
290,,Female,29306.0,16,6,Contemporary,Urban,6.0,11.0,1,High,17833,3537,5305,24362,5,7,Negative,Available,5,5,1,Yes,93015.0
291,59.0,Female,24086.0,23,8,Contemporary,Rural,6.0,17.0,4,Low,16903,8853,2059,42835,6,11,Negative,Available,2,3,5,No,148994.0
292,41.0,Female,19376.0,3,7,Eclectic,Urban,1.0,4.0,2,Medium,4212,2281,6430,10133,11,11,Positive,Not available,2,2,5,Yes,166838.0
293,52.0,Female,66350.0,21,5,Minimalist,Urban,5.0,15.0,3,High,7175,5175,7323,36809,21,4,Neutral,Available,4,3,5,Yes,155859.0
294,54.0,Other,76425.0,4,9,Eclectic,Rural,10.0,1.0,3,Medium,14571,1977,5237,41533,10,16,Negative,Available,5,3,4,Yes,158609.0
295,53.0,Male,41636.0,10,4,Eclectic,Urban,3.0,,3,High,17087,7648,6508,6404,4,5,Neutral,Not available,3,3,4,No,80919.0
296,30.0,Male,91120.0,5,6,Modern,Suburban,7.0,9.0,3,Low,8446,8051,6000,34339,9,7,Positive,Scarce,3,4,4,Yes,108854.0
297,59.0,Female,56649.0,21,2,Modern,Rural,10.0,12.0,1,High,18692,606,7534,29725,12,16,Positive,Available,5,4,4,No,58034.0
298,61.0,Male,39610.0,22,2,Modern,Urban,3.0,4.0,1,Medium,15877,3168,2780,9796,10,15,Positive,Not available,3,4,3,Yes,102431.0
299,48.0,Male,15058.0,10,2,Traditional,Suburban,5.0,13.0,2,Medium,13943,5435,7517,46380,14,5,Positive,Available,5,2,5,Yes,181614.0
300,53.0,Female,79637.0,12,7,Modern,Suburban,7.0,7.0,2,Low,11306,7770,1637,49073,5,1,Negative,Available,5,1,3,Yes,139279.0
301,55.0,Female,83033.0,10,2,Minimalist,Urban,3.0,8.0,2,Low,5016,1664,7776,22364,1,9,Positive,Not available,2,5,4,Yes,33234.0
302,59.0,Male,75194.0,13,2,Eclectic,Suburban,10.0,13.0,2,Medium,6912,1657,414,42341,5,5,Neutral,Not available,1,5,3,No,35568.0
303,57.0,Other,81917.0,11,9,Minimalist,Rural,2.0,11.0,4,Medium,1442,2746,4257,2236,16,6,Neutral,Available,2,1,5,No,73633.0
304,45.0,Female,69200.0,22,7,Modern,Urban,6.0,9.0,2,Medium,3944,7153,868,3380,5,3,Negative,Available,3,5,5,Yes,122766.0
305,,Other,51619.0,16,3,Traditional,Suburban,8.0,16.0,3,Low,4936,9358,7809,40945,5,6,Positive,Scarce,1,3,4,No,114582.0
306,47.0,Male,22154.0,8,3,Traditional,Suburban,4.0,10.0,3,Medium,1398,8149,1853,15538,18,8,Negative,Scarce,5,2,5,No,59703.0
307,57.0,Female,24539.0,8,7,Eclectic,Urban,9.0,11.0,3,Low,16696,1011,2989,12971,6,6,Negative,Not available,3,5,3,Yes,122634.0
308,27.0,Other,65058.0,8,5,Minimalist,Urban,8.0,12.0,4,Medium,3995,8941,4890,44065,21,16,Negative,Available,4,2,2,Yes,188695.0
309,42.0,Female,67068.0,13,6,Contemporary,Urban,7.0,14.0,2,High,7329,1388,3640,35285,18,16,Positive,Not available,3,1,5,Yes,189526.0
310,49.0,Male,82313.0,2,8,Minimalist,Urban,7.0,19.0,3,High,3216,9715,3288,18917,10,3,Neutral,Not available,1,5,3,Yes,104928.0
311,55.0,Other,35373.0,12,9,Modern,Rural,3.0,12.0,3,Medium,19091,8483,3451,39655,15,17,Neutral,Available,1,2,3,Yes,196703.0
312,27.0,Male,38154.0,10,1,Contemporary,Urban,6.0,18.0,3,High,12523,9291,3827,12486,22,6,Negative,Scarce,5,3,3,Yes,80253.0
313,64.0,Male,11031.0,12,3,Traditional,Rural,5.0,17.0,3,Low,3568,3522,7766,38410,11,6,Negative,Not available,4,3,5,No,121170.0
314,48.0,Female,98533.0,11,7,Eclectic,Rural,1.0,3.0,1,High,1160,3030,3315,26446,19,19,Neutral,Not available,5,1,2,Yes,21642.0
315,56.0,Other,,15,6,Eclectic,Urban,3.0,1.0,2,High,16648,6815,1121,22703,13,15,Neutral,Available,4,4,4,Yes,84176.0
316,46.0,Male,27785.0,16,7,Traditional,Rural,1.0,19.0,2,Low,9067,2564,6645,45191,20,19,Positive,Scarce,4,5,4,Yes,87373.0
317,47.0,Male,83928.0,17,8,Modern,Urban,4.0,4.0,4,High,4904,5913,3874,12399,3,2,Negative,Scarce,5,3,5,No,
318,26.0,Other,33669.0,2,6,Traditional,Urban,10.0,,1,High,4573,7037,4087,39829,16,8,Positive,Available,3,3,5,Yes,189694.0
319,,Male,99475.0,18,3,Modern,Suburban,3.0,12.0,4,Medium,2825,4069,7092,13685,7,7,Neutral,Not available,2,1,1,No,
320,26.0,Male,,12,2,Contemporary,Urban,4.0,13.0,3,Low,14786,1742,7952,23241,12,8,Neutral,Available,4,3,2,No,9170.0
321,50.0,Other,39624.0,19,7,Traditional,Suburban,9.0,17.0,4,Low,10815,4829,1908,5487,15,13,Neutral,Available,1,5,3,No,160889.0
322,41.0,Other,53438.0,23,1,Modern,Rural,3.0,8.0,3,Medium,14794,2425,859,13018,8,15,Neutral,Scarce,5,1,3,Yes,141208.0
323,64.0,Other,94900.0,18,3,Contemporary,Suburban,6.0,,3,Medium,2176,3895,5437,31825,23,12,Positive,Not available,3,2,4,No,137784.0
324,57.0,Other,72534.0,17,4,Traditional,Rural,6.0,5.0,2,High,8820,940,6921,8750,17,15,Neutral,Not available,4,1,5,Yes,
325,33.0,Female,36705.0,6,1,Eclectic,Urban,7.0,18.0,2,High,17514,5731,4363,18684,1,14,Negative,Scarce,3,5,2,Yes,188551.0
326,63.0,Other,43244.0,15,5,Traditional,Rural,,15.0,2,High,2499,8681,6931,44118,21,7,Neutral,Not available,5,5,4,Yes,146545.0
327,53.0,Female,79964.0,3,3,Minimalist,Rural,7.0,12.0,2,Medium,8626,3243,7426,15410,8,17,Negative,Not available,1,2,2,Yes,128376.0
328,50.0,Female,,6,2,Traditional,Urban,1.0,17.0,2,Low,17137,8539,7222,16105,14,5,Neutral,Available,4,1,5,No,90031.0
329,59.0,Female,82872.0,3,3,Minimalist,Rural,8.0,15.0,1,High,4708,8698,5865,19913,10,10,Positive,Available,4,5,3,Yes,26625.0
330,49.0,Male,79878.0,1,8,Contemporary,Urban,5.0,2.0,2,Medium,2769,2086,4735,37028,19,19,Negative,Available,3,5,1,No,149833.0
331,48.0,Female,77982.0,13,6,Traditional,Suburban,,6.0,4,Low,10510,1325,5950,48342,8,18,Positive,Not available,5,2,2,No,79454.0
332,37.0,Female,55583.0,21,7,Contemporary,Urban,10.0,17.0,3,Medium,15226,4324,911,47480,19,10,Neutral,Not available,2,4,3,Yes,6821.0
333,31.0,Male,43392.0,14,6,Contemporary,Urban,5.0,16.0,2,High,16634,1768,2463,18711,4,2,Positive,Not available,4,1,2,Yes,105120.0
334,60.0,Male,12461.0,13,6,Modern,Rural,5.0,,1,Medium,7731,8115,2181,25967,10,6,Neutral,Not available,1,5,2,No,184718.0
335,44.0,Male,15516.0,4,3,Contemporary,Suburban,2.0,9.0,4,Medium,11965,3936,4469,37023,23,3,Positive,Scarce,4,3,2,No,41200.0
336,25.0,Other,84285.0,7,8,Contemporary,Urban,3.0,5.0,4,Medium,1375,8589,4163,37005,3,19,Positive,Scarce,4,2,5,Yes,88889.0
337,32.0,Male,22514.0,22,7,Traditional,Suburban,10.0,1.0,3,Medium,16517,1810,7736,27622,4,5,Negative,Not available,2,4,4,Yes,184322.0
338,40.0,Male,41268.0,10,7,Traditional,Suburban,9.0,6.0,4,Low,7218,9728,4008,46201,16,7,Neutral,Available,2,4,2,Yes,
339,38.0,Female,95486.0,7,6,Eclectic,Rural,7.0,14.0,4,High,18124,977,6559,10497,4,7,Positive,Available,5,2,5,No,41447.0
340,36.0,Male,41788.0,21,5,Modern,Urban,1.0,17.0,4,Low,9495,9406,2009,17350,20,10,Neutral,Scarce,4,4,1,Yes,165256.0
341,47.0,Other,80749.0,15,8,Contemporary,Rural,3.0,,4,Medium,2085,2662,2061,49709,20,1,Negative,Scarce,4,5,4,Yes,185826.0
342,39.0,Male,66049.0,15,5,Modern,Urban,2.0,1.0,1,Medium,14073,1008,1992,23696,13,11,Positive,Not available,3,4,5,Yes,152883.0
343,52.0,Other,67493.0,4,9,Minimalist,Suburban,1.0,1.0,3,High,12371,7819,7631,28470,21,7,Neutral,Not available,3,1,1,Yes,162667.0
344,58.0,Male,41027.0,23,9,Contemporary,Urban,9.0,13.0,2,High,18594,881,6430,31889,17,6,Positive,Not available,1,3,4,No,96568.0
345,26.0,Male,98547.0,23,1,Modern,Urban,8.0,14.0,4,Low,12226,9872,1545,11224,23,6,Positive,Not available,1,5,5,No,111502.0
346,56.0,Male,47849.0,6,6,Eclectic,Suburban,5.0,6.0,1,Low,11046,2345,425,42724,16,13,Positive,Not available,3,2,1,Yes,109567.0
347,47.0,Male,22858.0,20,7,Eclectic,Suburban,2.0,6.0,3,High,17651,7800,5052,6465,17,16,Positive,Available,1,3,5,No,22757.0
348,46.0,Other,89162.0,5,3,Contemporary,Urban,,1.0,2,Low,12041,9792,1499,17882,6,13,Negative,Available,4,5,1,Yes,
349,49.0,Other,84003.0,20,7,Minimalist,Rural,7.0,14.0,3,Medium,5349,9409,6392,33203,3,2,Negative,Not available,2,3,2,No,148026.0
350,46.0,Female,57395.0,12,7,Eclectic,Urban,2.0,3.0,1,Medium,5965,8217,3011,28944,20,19,Neutral,Available,4,4,2,No,197421.0
351,46.0,Other,44758.0,1,2,Eclectic,Suburban,1.0,,1,High,14492,9009,3746,30837,4,19,Neutral,Not available,3,2,4,Yes,174002.0
352,30.0,Male,59312.0,8,7,Minimalist,Rural,2.0,,1,Low,14336,5129,1290,3944,8,19,Positive,Not available,5,2,1,Yes,97342.0
353,39.0,Female,73670.0,1,1,Modern,Suburban,7.0,19.0,4,Medium,18373,6204,3365,25336,20,18,Positive,Scarce,5,1,2,Yes,93760.0
354,61.0,Female,,5,5,Eclectic,Suburban,7.0,19.0,1,High,13684,2276,5254,39624,9,6,Positive,Available,3,4,4,Yes,139883.0
355,57.0,Female,20434.0,22,9,Traditional,Rural,10.0,4.0,2,Low,18321,8603,1821,45764,22,2,Negative,Available,4,1,3,No,166440.0
356,32.0,Male,69047.0,6,7,Eclectic,Suburban,6.0,19.0,4,Medium,7654,2784,6528,32796,1,19,Positive,Scarce,1,1,2,Yes,168791.0
